General,Payoff,Discount_Factor,Learning Rate,Difficulty,Value,Golds,Epochs
E-Greedy,Q-Learning,0.99,0.1,Easy,30.632,4,5096
E-Greedy,Q-Learning,0.95,0.9,Easy,15.88,4,5096
E-Greedy,Q-Learning Coop,0.95,0.1,Easy,12.971,4,5096
E-Greedy,Q-Learning Coop,0.97,0.1,Easy,12.441,4,5096
E-Greedy,Q-Learning Coop,0.99,0.1,Easy,12.323,4,5096
E-Greedy,Q-Learning Coop,0.95,0.9,Easy,21.27,4,5096
E-Greedy,SARSA,0.95,0.1,Easy,16.503,4,5096
E-Greedy,SARSA,0.97,0.1,Easy,15.071,4,5096
E-Greedy,SARSA,0.99,0.1,Easy,13.854,4,5096
E-Greedy,SARSA,0.95,0.9,Easy,8.948,4,5096
E-Greedy,SARSA Coop,0.95,0.1,Easy,14.109,4,5096
E-Greedy,SARSA Coop,0.97,0.1,Easy,13.332,4,5096
E-Greedy,SARSA Coop,0.99,0.1,Easy,13.599,4,5096
E-Greedy,SARSA Coop,0.95,0.9,Easy,13.68,4,5096
Soft-max,Q-Learning,0.95,0.1,Easy,19.329,4,5096
Soft-max,Q-Learning,0.97,0.1,Easy,32.261,4,5096
Soft-max,Q-Learning,0.99,0.1,Easy,94.309,4,5096
Soft-max,Q-Learning,0.95,0.9,Easy,17.52,4,5096
Soft-max,Q-Learning Coop,0.95,0.1,Easy,12.029,4,5096
Soft-max,Q-Learning Coop,0.97,0.1,Easy,12.225,4,5096
Soft-max,Q-Learning Coop,0.99,0.1,Easy,11.833,4,5096
Soft-max,Q-Learning Coop,0.95,0.9,Easy,11.72,4,5096
Soft-max,SARSA,0.95,0.1,Easy,9.8509,4,5096
Soft-max,SARSA,0.97,0.1,Easy,7.1625,4,5096
Soft-max,SARSA,0.99,0.1,Easy,4.4152,4,5096
Soft-max,SARSA,0.95,0.9,Easy,5.043,4,5096
Soft-max,SARSA Coop,0.95,0.1,Easy,11.676,4,5096
Soft-max,SARSA Coop,0.97,0.1,Easy,11.107,4,5096
Soft-max,SARSA Coop,0.99,0.1,Easy,11.97,4,5096
Soft-max,SARSA Coop,0.95,0.9,Easy,12.17,4,5096
E-Greedy,Q-Learning,0.97,0.9,Easy,15.6,4,5096
E-Greedy,Q-Learning,0.99,0.9,Easy,14.8,4,5096
E-Greedy,Q-Learning Coop,0.97,0.9,Easy,21.272,4,5096
E-Greedy,Q-Learning Coop,0.99,0.9,Easy,19.86,4,5096
E-Greedy,SARSA,0.97,0.9,Easy,6.8093,4,5096
E-Greedy,SARSA,0.99,0.9,Easy,6.299,4,5096
E-Greedy,SARSA Coop,0.97,0.9,Easy,13.677,4,5096
E-Greedy,SARSA Coop,0.99,0.9,Easy,13.6,4,5096
Soft-max,Q-Learning,0.97,0.9,Easy,24.568,4,5096
Soft-max,Q-Learning,0.99,0.9,Easy,84.73,4,5096
Soft-max,Q-Learning Coop,0.97,0.9,Easy,12.323,4,5096
Soft-max,Q-Learning Coop,0.99,0.9,Easy,11.54,4,5096
Soft-max,SARSA,0.97,0.9,Easy,2.1586,4,5096
Soft-max,SARSA,0.99,0.9,Easy,0.667,4,5096
Soft-max,SARSA Coop,0.97,0.9,Easy,11.852,4,5096
Soft-max,SARSA Coop,0.99,0.9,Easy,11.83,4,5096
Naive,Naive,,,Easy,11.6954,4,5096
Naive,Naive,,,Easy,8.0651,1,5096
Naive,Naive,,,Hard,4.06,8,5096
Naive,Naive,,,Hard,2.32,4,5000
Naive,Naive,,,Hard,0.18,1,25000
